"[마루] 햄김치볶음밥&달걀후라이, 유부된장국, 생선까스*타르타르소스, 까르보나라떡볶이, 그린샐러드&포도드레싱, 요구르트, 깍두기","[마루] 쇠고기청경채달걀덮밥, 김치콩나물국, 고구마크로켓, 참치콘샐러드, 오징어젓갈무침, 깍두기","[마루] (철판)치즈제육불고기, 후리가케밥, 미역국, 멘치까스*참깨소스, 단호박고구마범벅샐러드, 단무지부추무침, 배추김치","[마루] 맛초킹치킨, 후리가케밥, 꼬치어묵우동, 미니붕어빵, 요구르트, 깍두기","[마루] 가츠동(돈가스덮밥), 냉모밀, 타코야끼, 오복채*락교, 쥬시쿨, 배추김치"
"[채움] (뚝)바지락된장찌개, 잡곡밥, 제육야채볶음, 부들어묵조림, 도토리묵*양념장, 깍두기","[채움] (뚝)사골우거지탕, 잡곡밥, 해물동그랑땡전, 메추리알감자조림, 연두부*양념장, 깍두기","[채움] 사골떡만두국, 잡곡밥, 너비아니구이*베이비채소, 호박새우젓볶음, 숙주나물무침, 배추김치","[채움] (뚝)전주식콩나물해장국, 잡곡밥, 닭가슴살고추장조림, 감자채볶음, 오이지무침, 깍두기","[채움] (뚝)등뼈묵은지찜, 잡곡밥, 근대된장국, 삼색달걀찜, 브로콜리초회, 배추김치"
"[채움] 삼색소보루비빔밥, 맑은우동국물, 핫도그&케찹, 비빔야채만두, 쥬시쿨, 깍두기","[채움] (뚝)닭볶음탕, 잡곡밥, 얼갈이된장국, 비엔나케찹볶음, 콩나물부추무침, 배추김치","[채움] (뚝)참치김치찌개&당면사리, 잡곡밥, 햄전, 실치땅콩조림, 마늘쫑맛살볶음, 깍두기","[채움] 짜계치(짜장덮밥&달걀후라이&치즈), 짬뽕국, 군만두*초간장, 람부탄, 배추김치","[채움] 돌솥비빔밥&달걀후라이, 삼색수제비국, 돈육땅콩강정, 후르츠마카로니샐러드, 요구르트, 배추김치"
"[마루] 새우달걀볶음밥, 나가사끼짬뽕, 가라아게깐풍기, 숙주게맛살무침, 짜샤이무침, 깍두기","[마루] 오꼬노미돈까스, 후리가케밥, 유부된장국, 해물볶음우동, 오복채&락교, 깍두기","[마루] (철판)훈제오리불고기, 김가루밥, 얼갈이된장국, 춘권&사모사튀김, 와사비쌈무, 배추김치","[마루] 왕새우튀김&오므라이스, 우동국물, 배추김치","[마루] 미트소스스파게티, 갈릭함박스테이크&달걀후라이, 클링클컷*케찹, 그린샐러드*키위드레싱, 오이피클, 배추김치"
"[채움] (뚝)제육고추장불고기, 잡곡밥, 된장찌개, 두부달걀전&양념장, 고추지무침, 깍두기","[채움] (뚝)설렁탕&소면사리, 잡곡밥, 김치전&오징어메생이전, 볼어묵볶음, 콩나물무침, 깍두기","[채움] 순두부김치찌개, 잡곡밥, 돈사태떡조림, 생선까스&타르타르소스, 열무나물, 배추김치","[채움] (뚝)닭감자매운조림, 잡곡밥, 콩나물국, 떡갈비데리야끼조림, 배추김치","[채움] 유부주머니 어묵탕, 잡곡밥, 탕수육, 두부조림, 브로콜리무침"
"[채움] (뚝)짜글이찌개, 잡곡밥, 닭가슴살간장떡조림, 미트볼케찹볶음, 도토리묵야채무침, 깍두기","[채움] 참치마요덮밥, 우동국물, 오븐치즈떡볶이, 김말이&만두튀김, 단무지, 쥬시쿨, 배추김치","[채움] 영양닭죽, 추가밥, 나박물김치, 메밀전병, 오징어젓갈무침, 배추김치","[채움] (뚝)돈까스김치나베, 잡곡밥, 깍두기","[채움] (뚝)제육볶음&콩나물, 잡곡밥, 근대된장국, 달걀찜, 양배추쌈*쌈장, 배추김치"
"[마루] 해물팟타이, 치킨파인애플볶음밥, 우동국물, 멘치까스*참깨소스, 람부탄, 깍두기","[마루] 타워함박스테이크, 후리가케밥, 꼬치어묵우동, 물만두찜*초간장, 오복채*락교, 깍두기","[마루] 바지락칼국수, 충무김밥&오징어초무침, 메밀전병, 아이스경단, 배추김치","[마루] 파닭with허니머스터드, 참치야채비빔밥, 팽이된장국, 떡볶이, 콘샐러드/치킨무, 배추김치","[마루] 짜계치(짜장덮밥+계란후라이+치즈), 달걀대파국, 유린기샐러드, 단무지, 쥬시쿨, 배추김치"
"[채움] (뚝)부대찌개&라면사리, 잡곡밥, 야채달걀말이, 미트볼케찹조림, 건파래부추무침, 깍두기","[채움] (뚝)육개장&당면사리, 잡곡밥, 동그랑땡전, 새송이호박볶음, 브로콜리&다시마초회, 깍두기","[채움] 돈육김치볶음&온두부, 잡곡밥, 북어채콩나물국, 감자채햄볶음, 오이지무침, 깍두기","[채움] (뚝)해물된장찌개, 잡곡밥, 삼색달걀찜, 너비아니구이&베이비채소, 마늘쫑양념무침, 배추김치","[채움] 쇠고기탕국, 취나물밥&양념장, 잡채, 능성어튀김, 숙주나물*고사리나물, 배추김치"
"[채움] (뚝)떡만두국, 잡곡밥, 오징어부추전, 부들어묵조림, 올방개묵들깨무침, 배추김치","[채움] 돈까스&카레덮밥, 우동국물, 고구마맛탕, 비엔나케찹볶음, 단무지무침, 배추김치","[채움] 치즈김치돌솥비빔밥, 유부된장국, 핫도그*케찹, 꽃맛살마카로니샐러드, 요구르트, 배추김치","[채움] 오징어볶음&소면사리, 잡곡밥, 쇠고기미역국, 감자전, 시래기멸치지짐, 깍두기","[채움] (뚝)고추장돈육불고기, 잡곡밥, 얼갈이된장국, 생선까스&타르타르소스, 고추지무침, 깍두기"
~~ 추석 연휴 ~~,~~ 추석 연휴 ~~,~~ 추석 연휴 ~~,"[마루] 김치불고기필라프&달걀후라이, 유부된장국, 타코야끼, 참치마카로니샐러드, 쥬시쿨, 깍두기","[마루] 차슈라멘, 후리가케밥, 야채튀김, 단무지, 미니붕어빵+요구르트, 배추김치"
,,,"[채움] 순두부찌개&계란탁, 잡곡밥, 생선까스*타르타르소스, 볼어묵조림, 도토리묵*양념장, 깍두기","[채움] (뚝)소고기된장찌개, 잡곡밥, 오돈불고기, 햄전, 숙주나물맛살무침, 배추김치"
,,,"[채움] (뚝)사골우거지탕, 잡곡밥, 떡갈비데리야끼조림, 호박새우젓볶음, 유채나물, 깍두기","[채움] 영양닭죽, 추가쌀밥, 나박물김치, 메밀전병, 오징어젓갈무침, 배추김치"
"[마루] 눈꽃치즈돈까스, 김치볶음밥*김가루, 토마토스파게티, 유부된장국, 오이피클&할라피뇨, 요구르트, 깍두기","[마루] 나시고랭&달걀후라이, 양지쌀국수, 야채춘권*사모사, 단호박고구마범벅, 짜샤이무침, 배추김치",** 개천절 **,"[마루] 중국식달걀볶음밥*짜장소스, 짬뽕수제비국, 후르츠탕수육, 물만두찜*초간장, 단무지, 배추김치","[마루] 참치회덮밥, 메밀국수, 꽈배기, 초생강*락교, 요구르트, 깍두기"
"[채움] (뚝)만두전골, 잡곡밥, 오징어동그랑땡전, 미역줄기볶음, 콩나물매콤무침, 깍두기","[채움] (뚝)바지락된장찌개, 잡곡밥, 순대야채볶음, 옥수수달걀찜, 얼갈이나물, 배추김치",,"[채움] (뚝)제육고추장불고기, 잡곡밥, 얼갈이된장국, 야채달걀말이, 올방개묵들깨무침, 무생채, 배추김치","[채움] (뚝)참치김치찌개&당면사리, 잡곡밥, 닭가슴살브로콜리볶음, 명엽채흑임자조림, 유채나물, 깍두기"
"[채움] (뚝)콩비지찌개, 잡곡밥, 돈사태떡찜, 하트맛살전, 오이지무침, 깍두기","[채움] (뚝)고구마닭갈비, 잡곡밥, 들깨미역국, 군만두*초간장, 실곤약야채무침, 배추김치",,"[채움] (뚝)닭곰탕&당면사리, 잡곡밥, 너비아니구이*베이비채소, 감자채볶음, 숙주나물부추무침, 깍두기","[채움] (뚝)나물볶음밥&달걀후라이, 유부된장국, 핫도그&케찹, 새싹연두부샐러드, 파래김구이, 배추김치"
"[마루] 왕새우튀김오므라이스, 유부된장국, 까르보나라떡볶이, 후르츠마카로니샐러드, 와플*딸기잼, 쥬시쿨, 깍두기",~~ 한글날 ~~,"[마루] (뚝)날치알밥, 꼬치어묵우동, 해쉬브라운&케찹, 포도맛푸딩, 오복채*락교, 배추김치","[마루] (철판)치즈닭강정, 잔치국수, 후리가케밥, 야채달걀찜, 양배추콘샐러드, 배추김치","[마루] 가츠카레(카레라이스+멘치까스+새우튀김), 우동국물, 타코야끼, 락교&초생강, 요구르트, 깍두기"
"[채움] (뚝)콩비지찌개, 잡곡밥, 생선까스&타르타르소스, 부들어묵볶음, 건파래부추무침, 깍두기",,"[채움] 주꾸미당면불고기, 잡곡밥, 북어채콩나물국, 옛날소시지전, 된장깻잎지, 배추김치","[채움] 단호박영양밥, 재첩국, 메밀전병, 파래김구이*양념장, 브로콜리초회, 배추김치","[채움] (뚝)부산돼지국밥&소면사리, 잡곡밥, 돈육땅콩강정, 감자조림, 콩나물무침, 깍두기"
"[채움] 돈육김치볶음&온두부, 잡곡밥, (뚝)된장찌개, 달걀곤약장조림, 콩나물무침, 깍두기",,"[채움] (뚝)참치짜글이찌개, 잡곡밥, 닭가슴살간장떡볶음, 스크램블드에그, 얼갈이나물, 깍두기","[채움] (뚝)동태매운탕, 잡곡밥, 동그랑땡전, 마늘쫑햄볶음, 청포묵김가루무침, 깍두기","[채움] (뚝)순두부찌개&계란탁, 잡곡밥, 돈육간장불고기, 볼어묵조림, 고추지, 배추김치"
"[마루] 햄김치볶음밥&달걀후라이, 나가사끼짬뽕, 고구마맛탕, 참치콘샐러드, 요구르트, 깍두기","[마루] 짜계치(짜장덮밥+계란후라이+치즈), 달걀대파국, 유린기샐러드, 단무지, 쥬시쿨, 배추김치","[마루] 미트볼스파게티&마늘빵, 눈꽃치즈돈까스, 후리가케밥, 크림스프, 오이피클*할라피뇨, 후식음료, 깍두기","[마루] 오꼬노미스테이크덮밥, 야끼우동, 유부된장국, 팥춘권튀김, 락교*오복채, 깍두기","[마루] 순살치킨까스마요덮밥, 우동국물, 국물떡볶이*새우튀김, 단무지, 쥬시쿨, 배추김치"
"[채움] (뚝)제육고추장불고기, 잡곡밥, 얼갈이된장국, 미역줄기맛살볶음, 쌈무, 도토리묵*양념장, 깍두기","[채움] (뚝)전주식콩나물해장국&달걀, 잡곡밥, 순대야채볶음, 감자채볶음, 브로콜리&다시마초회, 배추김치","[채움] 등뼈감자탕, 잡곡밥, 김치전&메생이오징어전, 볼어묵조림, 오이지무침, 깍두기","[채움] (뚝)닭곰탕&당면사리, 잡곡밥, 야채달걀말이, 연근땅콩조림, 얼갈이된장나물, 깍두기","[채움] (뚝)꽃게된장찌개, 잡곡밥, 돈육김치볶음*온두부, 건파래볶음, 고추지, 배추김치"
"[채움] (뚝)사골떡만두국, 잡곡밥, 떡갈비데리야끼조림, 두부무조림, 된장깻잎지, 배추김치","[채움] (뚝)돈까스김치나베, 잡곡밥, 유부된장국, 양송이미트볼케찹조림, 콩나물무침, 깍두기","[채움] (뚝)닭감자매운조림, 잡곡밥, 쇠고기미역국, 돈육땅콩강정, 호박새우젓볶음, 배추김치","[채움] (뚝)부대찌개&라면사리, 잡곡밥, 돈사태떡찜, 만두탕수, 참나물무침, 깍두기","[채움] (뚝)육개장&당면사리, 잡곡밥, 너비아니구이*베이비채소, 부들어묵조림, 올방개묵들깨무침, 깍두기"
"[마루] 돈까스오므라이스, 유부된장국, 비엔나파인애플볶음, 단호박고구마범벅샐러드, 요구르트, 배추김치","[마루] 참치캔야채비빔밥, 새우튀김우동, 꽈배기, 오복지&락교, 화인쿨, 깍두기","[마루] 잔치국수, 충무김밥&오징어무침, 너비아니구이*베이비채소, 미니붕어빵+요구르트, 배추김치","[마루] (철판)치즈닭갈비, 후리가케밥, 얼갈이된장국, 생선까스&타르타르소스, 양배추콘샐러드, 쥬시쿨, 배추김치","[마루] 마파두부덮밥, 달걀탕, 고추잡채&꽃빵, 군만두*초간장, 짜샤이무침, 깍두기"
"[채움] (뚝)순두부김치찌개, 잡곡밥, 닭가슴살간장떡볶음, 탕수육, 돌나물&초고추장, 배추김치","[채움] (뚝)육개장&당면사리, 잡곡밥, 동그랑땡전, 알감자조림, 참나물생채, 깍두기","[채움] (뚝)소고기된장찌개, 잡곡밥, 모듬장조림, 부추스크램블에그, 콩나물매콤무침, 배추김치","[채움] 쇠고기콩나물밥&달걀후라이, 재첩국, 메밀전병, 파래김구이*양념장, 오징어젓갈무침, 배추김치","[채움] (뚝)설렁탕&소면사리, 잡곡밥, 두부무조림, 돈육땅콩강정, 근대나물, 깍두기"
"[채움] 고추장제육불고기, (뚝)바지락된장찌개, 잡곡밥, 달걀찜, 양배추쌈&쌈장, 배추김치","[채움] (뚝)콩비지찌개, 잡곡밥, 능성어튀김, 후랑크소시지케찹조림, 모듬묵*새싹양념장, 깍두기","[채움] 제육김치덮밥, 유부된장국, 감자크로켓&케찹, 참치마카로니샐러드, 숙주나물무침, 깍두기","[채움] (뚝)사골우거지탕, 잡곡밥, 치킨가라아게강정, 감자채볶음, 연두부*양념장, 깍두기","[채움] 소고기마늘볶음밥&달걀후라이, 우동국물, 핫도그*케찹, 꽃맛살메추리알샐러드, 푸딩, 배추김치"
"[마루] 베트남쌀국수, 나시고랭&달걀후라이, 지마구, 두부샐러드&참깨드레싱, 황도*후르츠칵테일, 배추김치","[마루] 삼색소보루비빔밥, 유부된장국, 순살치킨탕수, 참치푸실리샐러드, 쥬시쿨(자두맛), 깍두기","[마루] 타워함박스테이크, 까르보나라스파게티, 후리가케밥, 크림스프, 멕시칸샐러드, 요구르트, 배추김치","[마루] (뚝)날치알밥, 모밀국수, 야채튀김, 오복채*락교, 쥬시쿨(청포도), 배추김치","[마루] 눈꽃치즈돈까스, 김치볶음밥&달걀후라이, 유부된장국, 그린샐러드*키위D, 요구르트, 깍두기"
